secretary,2023-03-23,hong kong,https://hoganlovells.wd3.myworkdayjobs.com/Search/job/Hong-Kong/Secretary_R234483
credit controller assistant,2023-03-15,hong kong sar,https://linklaters.wd3.myworkdayjobs.com/Linklaters/job/Hong-Kong/Credit-Controller-Assistant_R00008703-1
document automation intern,2023-03-21,hong kong sar,https://linklaters.wd3.myworkdayjobs.com/Linklaters/job/Hong-Kong/Document-Automation-Intern_R00008751
sr. associate-qa compliance,2023-03-24,united states of america,https://lilly.wd5.myworkdayjobs.com/LLY/job/US-Branchburg-NJ/Sr-Associate-QA-Compliance_R-47143
customer administrator (12-month contract),2023-03-24,china,https://pernodricard.wd3.myworkdayjobs.com/pernod-ricard/job/Hong-Kong/Contract-Customer-Administrator_JR-034089-1
communications coordinator (6 months contract),2023-02-24,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Commucations-Coordinator_JR00011186
"cataloguer, wine (1 year contract)",2023-02-24,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Cataloguer--Wine--1-year-contract-_JR00011209
client services officer (1 year contract),2023-03-13,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Client-Services-Officer--1-year-contract-_JR00011268
pr manager (4 months contract),2023-03-01,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Editorial-Manager--4-months-contract-_JR00011153
temporary client services officer (3 months contract),2023-03-22,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Temporary-Client-Services-Officer--3-months-contract-_JR00011292
